地藏御魂: 吼——
侵蚀律者: 她唯一的灵魂……已经寄宿在了最初的容器里……
卡莲: 果然如此么……我多少也察觉到了一些。啊啊，好想再看一眼那夜的樱花啊……
旁白: 以城主府为中心的空间扭曲现象持续了整整一夜。
旁白: 在晨光开始驱散夜色之时，曾经巍峨的城主府已经几乎化作一片废墟。
旁白: 绯夜花在带着我成功逃出以后就匆匆离去，想必是要进行有关当前事态的紧急通讯以及善后处理。
旁白: 我漫无目的地游荡在这片废墟中，试图在八重町的住民察觉到异样前找到有关卡莲依旧存在着的蛛丝马迹。
旁白: 然而这终归只是安慰自己的徒劳之举而已。
旁白: 当我在废墟中回收了「饿鬼道」与「天人道」两枚咒印后，我知道，名为卡莲的女子已不存在于这个世界的任何一个角落了。
旁白: 不疾不徐的脚步声以及木板不堪重负的吱呀声隐隐传来，由远及近。
旁白: 当漆黑斗篷的一角落入视野的瞬间，我竟不自觉地松了口气。
霞: 你来了，芽衣……还好么？
摆渡人: 我把她安顿在了旧城区曾经落脚的小屋。
摆渡人: 虽然已经苏醒，但她的记忆似乎产生了障碍，甚至不记得父亲龙马被关进牢中的事实。
霞: 被「饿鬼道」吞噬掉了么……强行和咒印融合的后遗症对她而言似乎反而是一桩好事。
摆渡人: 说到底，她也不过是个单纯且执拗的少女……而越是单纯的人越会在现实的压榨下寻求极端。
摆渡人: 不过……你还有余力关心其他人的事情么，毕竟卡莲她们……
霞: 果然，你一直在看着我。不用担心，在下从记事起就是孤身一人，并不会为此而自怜身世。
摆渡人: 但是看你红肿的眼睛似乎并非如此。
霞: ……摆渡人，有的时候视而不见也是一种体贴。而且，在下也不知这些眼泪究竟是谁在为谁而流。
摆渡人: 哦？
霞: 只是在那个瞬间，有一股难以言喻的悲伤从心头泛起，就仿佛有什么人通过我的身体在哭泣。
霞: 老实说在下并不相信灵魂的存在。即使目睹了生魂以及拥有自我意识的「火神」，我也宁愿相信那是类似执念的某种东西。
霞: 但是，在卡莲消失的那个瞬间无端涌出的眼泪和悲伤，如果硬要形容的话——
霞: 那一定是来自灵魂深处的情绪，而在下也分不清它到底属于某个人还是属于我自己。
霞: 所以……
霞: 看不到光，算是不幸么？
摆渡人: ………
霞: 需要光，才是真正的不幸吧。
霞: 她自顾自地将我制造出来，又自顾自地后悔最后将我送到主教手里。
霞: 在下本可以孑然一身地作为主教的暗部生存下去，而她却又再次出现在我的生命里。
霞: 揭开我的身世，然后自顾自地叫我背负着“八重霞”这个名字继续活下去。
霞: 真是……任性的女人，直到最后也依旧如此。
摆渡人: 如果不曾知晓过去，也就不会对自己本不拥有的东西产生渴望么？
霞: 如果在下没有来过的话，她是不是就能继续活下去……事到如今，我已经……
摆渡人: 那么，随我离开如何？
霞: ……你？
霞: 说起来，如果绯夜花所言并非虚假，她才是主教安插在八重町的真正暗桩。
霞: 回想起来，当初和那个女人交手的时候，她的确说过这样的话：“敢把主意打到这座宅邸上的人，你是第二个。”
霞: 不仅知道天命暗部接头的暗号，还潜入绯夜花的宅邸将「外道六法」的原帖窃出并成功伪装成天命暗桩抢先一步与我接触。
霞: 你……究竟是什么人？
摆渡人: 在下只是一介船夫，姑且是一艘小船的主人。而船上与我一同旅行的船员都像你一样彻底失去了自己的容身之地。
霞: ……在下，并没有与人抱团互舔伤口的兴趣。
霞: 倒头来，你也和她一样。自作主张地伸出手，自作主张地说着“喜欢上自己”“活下去”这样不负责任的话语。
霞: 凭空给予人不切实际的希望，落空后只是徒增空虚而已。
霞: 像我这样自小就被当做工具培养的人，经历过越多的任务就会越发清晰地认识到自己的一无所有。
霞: 内疚和自卑感就像衣物上晕开的污渍，早已无法抹去。
摆渡人: 或许是这样没错。但正因为同样深刻体会过自己的一无所有，此刻我才会站在这里。
摆渡人: 幸运的是，在我一遍一遍诅咒自己的无能为力时，有人告诉我：“需要你的人是存在的，只是你还没有找到而已。”
摆渡人: 像我们这样的人，只有被别人认可和接纳的时候才能稍微原谅自己，才有可能喜欢上自己。
摆渡人: 这或许只是来自别人一时兴起的温柔，但在那个时候，它的确让我被悔恨挤压变形的心感受到了一丝温度。
霞: ………
摆渡人: 那么现在，就由我来对你伸出手。
摆渡人: 我需要你，你愿意跟我走么？
霞: 哈……身份可疑又花言巧语，为什么偏偏是像你这样的家伙……
摆渡人: 我需要你，你愿意跟我走么？
霞: ……即便在下只懂得夺取？
摆渡人: 我需要你，你愿意跟我走么？
霞: ………
霞: ……带我……走吧。
旁白: ………
旁白: ………
旁白: ………
霞: 对了。虽然成功回收了「外道六法」，但在下总觉得这个古老的极东禁术似乎还藏有其他的秘密。
摆渡人: 哦？为什么这么说？
霞: 之前的五枚咒印都只是单纯的能量体，但最后被回收的「饿鬼道 」咒印其正体却是一枚晶体碎片。你看。
摆渡人: 咦，这是……原来如此，原来是这样。
摆渡人: 难怪「饿鬼道 」的能力会不合常理到甚至可以短暂撕开通往其他世界的通道。
摆渡人: 使役生魂的「地狱道」，契约妖兽的「畜牲道」，操控人心的「人间道」，化身厉鬼的「修罗道」以及不老不死的「天人道」。
摆渡人: 意识，约束，支配，毁灭，创生。
摆渡人: 极东的先人模造出这五种劣化版力量的真正意图就是为了藏住这里面唯一的真物么？
霞: 你到底在说什么？
摆渡人: 不，不用在意，事到如今这些都已经不重要了。
摆渡人: 比起这个，我们到了，霞。
摆渡人: 这就是我的座舰，你日后的归处。
摆渡人: 欢迎来到休伯利安。
